,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?,clust
213,53327,0,1,1,1,8650,6,650,2,6350,1,Ocassional Flyers
214,29342,0,2,1,1,5835,4,0,0,5153,0,Ocassional Flyers
215,109248,0,1,1,1,6828,11,0,0,6618,1,Ocassional Flyers
216,16079,0,1,1,1,6085,4,0,0,1670,0,Ocassional Flyers
217,78130,0,4,1,1,37251,15,900,2,6120,0,Ocassional Flyers
218,10959,0,1,1,1,500,1,0,0,3469,1,Ocassional Flyers
219,37552,0,1,1,1,100,1,0,0,5340,0,Ocassional Flyers
220,114713,0,1,1,1,7142,18,0,0,8296,0,Ocassional Flyers
221,211773,0,3,1,1,23256,30,0,0,2675,0,Ocassional Flyers
222,17603,2543,2,1,1,7247,14,0,0,1958,1,Ocassional Flyers
223,54116,1846,3,1,1,34997,14,0,0,4848,1,Ocassional Flyers
224,26204,967,1,1,1,4030,6,2930,4,5989,0,Ocassional Flyers
225,138999,0,5,1,1,63738,29,600,4,7153,1,Ocassional Flyers
226,1022,0,1,1,1,0,0,0,0,277,0,Ocassional Flyers
227,7845,0,1,1,1,265,3,0,0,3508,0,Ocassional Flyers
228,74579,0,1,1,1,4600,11,600,8,8289,1,Ocassional Flyers
229,7422,0,1,1,1,2229,3,0,0,2653,0,Ocassional Flyers
230,120576,0,4,1,1,36635,14,0,0,3823,1,Ocassional Flyers
231,83590,0,1,1,1,3708,22,0,0,8228,0,Ocassional Flyers
232,175344,0,4,1,1,40152,19,0,0,3770,0,Ocassional Flyers
233,238749,0,1,1,1,7134,14,3134,12,6297,1,Ocassional Flyers
234,139897,0,3,1,1,21065,28,50,1,5329,0,Ocassional Flyers
235,268314,0,4,1,1,29968,14,500,1,3869,0,Ocassional Flyers
236,55064,0,2,1,1,8041,13,0,0,3329,1,Ocassional Flyers
237,2686,0,1,1,1,7500,4,500,1,301,1,Ocassional Flyers
238,127807,0,3,1,1,17086,16,1500,3,7537,1,Ocassional Flyers
239,82605,0,3,1,1,23049,15,0,0,6417,0,Ocassional Flyers
240,80988,0,1,1,1,4413,5,0,0,4707,0,Ocassional Flyers
241,108137,0,1,1,1,6368,5,6368,5,6844,0,Ocassional Flyers
242,23589,0,1,1,1,0,0,0,0,3336,0,Ocassional Flyers
243,48806,0,1,1,1,12600,10,2500,8,3502,1,Ocassional Flyers
244,27669,0,1,1,1,3219,7,0,0,3413,0,Ocassional Flyers
245,225802,0,5,1,1,74340,16,200,2,8296,1,Ocassional Flyers
246,44792,0,2,1,1,9463,16,0,0,2430,0,Ocassional Flyers
247,213150,0,4,1,1,56308,41,5200,14,7645,1,Ocassional Flyers
248,37965,0,1,1,1,2250,5,0,0,1998,0,Ocassional Flyers
249,27320,2788,1,1,1,0,0,0,0,1725,0,Ocassional Flyers
250,771,0,1,1,1,13160,4,0,0,1601,1,Ocassional Flyers
251,89576,0,3,1,1,20333,15,0,0,3099,0,Ocassional Flyers
252,20584,0,1,1,1,3450,11,3450,11,6884,0,Ocassional Flyers
253,135488,0,5,1,1,57787,16,0,0,4117,1,Ocassional Flyers
254,1300,0,1,1,1,454,11,0,0,3691,1,Ocassional Flyers
255,17778,0,1,1,1,0,0,0,0,5897,0,Ocassional Flyers
256,75971,0,4,1,1,34339,14,0,0,6869,0,Ocassional Flyers
257,163315,0,1,1,1,8035,29,0,0,3120,0,Ocassional Flyers
258,23704,0,3,1,1,14935,14,0,0,868,1,Ocassional Flyers
259,35433,0,1,1,1,1600,3,0,0,4113,0,Ocassional Flyers
260,18932,0,3,1,1,24660,22,0,0,6091,1,Ocassional Flyers
261,29350,0,4,1,1,27703,15,0,0,3020,1,Ocassional Flyers
262,12375,0,1,1,1,3875,24,0,0,863,0,Ocassional Flyers
263,18656,0,1,1,1,4752,11,0,0,968,0,Ocassional Flyers
264,164613,0,2,1,1,11095,13,0,0,7375,0,Ocassional Flyers
265,109790,0,1,1,1,16108,4,0,0,3123,0,Ocassional Flyers
266,123842,0,3,1,1,24295,14,0,0,2500,0,Ocassional Flyers
267,33398,0,3,1,1,14086,15,0,0,2223,0,Ocassional Flyers
268,9634,0,1,1,1,9634,5,0,0,2146,0,Ocassional Flyers
269,25963,0,2,1,1,8183,25,0,0,4244,0,Ocassional Flyers
270,972,972,1,1,1,0,0,0,0,2,0,Ocassional Flyers
271,10021,0,1,1,1,0,0,0,0,7879,0,Ocassional Flyers
272,35509,0,3,1,1,14204,13,0,0,1486,0,Ocassional Flyers
273,54011,1604,3,1,1,38380,20,5780,4,6487,1,Ocassional Flyers
274,28049,0,1,1,1,100,2,0,0,1164,0,Ocassional Flyers
275,28446,0,1,1,1,0,0,0,0,1920,0,Ocassional Flyers
276,96053,0,1,1,1,2200,6,2200,6,4391,0,Ocassional Flyers
277,15275,0,1,1,1,2750,8,0,0,1694,0,Ocassional Flyers
278,179832,2954,3,1,1,18218,20,2500,5,1569,1,Ocassional Flyers
279,51304,1362,1,1,1,11611,40,10075,36,4708,1,Ocassional Flyers
280,234327,0,4,1,1,30406,28,150,2,6319,1,Ocassional Flyers
281,173191,0,4,1,1,31503,13,0,0,6084,1,Ocassional Flyers
282,15000,0,1,1,1,15000,1,0,0,1976,0,Ocassional Flyers
283,56268,0,4,1,1,33447,14,100,1,6017,1,Ocassional Flyers
284,31224,1000,1,1,1,1150,7,650,6,1508,0,Ocassional Flyers
285,144973,0,3,1,1,23703,14,0,0,6280,0,Ocassional Flyers
286,131306,0,3,1,1,32115,15,0,0,5797,0,Ocassional Flyers
287,53543,0,1,1,1,21183,11,563,2,1149,0,Ocassional Flyers
288,37381,0,1,1,1,6091,16,0,0,6332,0,Ocassional Flyers
289,54265,0,1,1,1,0,0,0,0,6109,0,Ocassional Flyers
290,127199,0,1,1,1,2563,14,0,0,2917,0,Ocassional Flyers
291,16153,0,1,1,1,180,1,0,0,6491,0,Ocassional Flyers
292,23139,0,2,1,1,8156,14,0,0,3578,0,Ocassional Flyers
293,131424,0,5,1,1,58814,14,50,1,6128,1,Ocassional Flyers
294,65982,0,1,1,1,1750,4,750,3,5030,1,Ocassional Flyers
295,23173,0,2,1,1,7843,8,0,0,2565,0,Ocassional Flyers
296,70133,0,2,1,1,7396,16,0,0,6392,0,Ocassional Flyers
297,35065,0,1,1,1,5400,5,1400,3,7311,1,Ocassional Flyers
298,491987,0,5,1,1,68007,23,700,2,8289,1,Ocassional Flyers
299,27566,0,1,1,1,6362,24,0,0,3279,0,Ocassional Flyers
300,77965,0,4,1,1,41126,33,2683,7,3120,1,Ocassional Flyers
301,61545,0,3,1,1,18351,18,0,0,1973,0,Ocassional Flyers
302,6020,1505,1,1,1,0,0,0,0,4986,0,Ocassional Flyers
303,32377,0,1,1,1,250,2,250,2,3515,0,Ocassional Flyers
304,54189,0,2,1,1,8940,17,0,0,4791,0,Ocassional Flyers
305,34257,0,1,1,1,2010,4,0,0,4309,0,Ocassional Flyers
306,36829,0,4,1,1,42497,19,1001,1,1015,1,Ocassional Flyers
307,18007,0,4,1,1,33237,15,0,0,4665,1,Ocassional Flyers
308,129298,0,4,1,1,29099,15,0,0,6722,0,Ocassional Flyers
309,11504,0,1,1,1,100,1,0,0,6675,0,Ocassional Flyers
310,7879,0,1,1,1,1815,5,0,0,1849,0,Ocassional Flyers
311,70353,0,1,1,1,2986,15,150,2,1879,0,Ocassional Flyers
312,19591,0,1,1,1,4437,8,0,0,1772,1,Ocassional Flyers
313,19078,0,1,1,1,200,1,200,1,1999,0,Ocassional Flyers
314,48433,0,1,1,1,4300,5,800,3,3673,1,Ocassional Flyers
315,116923,0,5,1,1,70403,50,0,0,1738,0,Ocassional Flyers
316,34072,0,1,1,1,500,1,0,0,3879,0,Ocassional Flyers
317,251286,0,1,1,1,0,0,0,0,8289,1,Ocassional Flyers
318,41648,0,4,1,1,32117,35,2200,5,5408,1,Ocassional Flyers
319,10994,0,1,1,1,1250,3,0,0,8007,0,Ocassional Flyers
320,4431,0,1,1,1,0,0,0,0,1582,0,Ocassional Flyers
321,71264,0,5,1,1,94161,17,1000,2,4903,1,Ocassional Flyers
322,206648,0,1,1,1,5132,16,2450,11,6030,1,Ocassional Flyers
323,110480,0,4,1,1,44191,22,500,1,2539,1,Ocassional Flyers
324,36300,0,1,1,1,450,2,350,1,3329,0,Ocassional Flyers
325,34383,0,3,1,1,22956,12,0,0,5611,1,Ocassional Flyers
326,28028,0,1,1,1,0,0,0,0,1548,0,Ocassional Flyers
327,26561,0,1,1,1,100,1,0,0,4926,1,Ocassional Flyers
328,50431,0,1,1,1,1000,1,0,0,8289,1,Ocassional Flyers
329,15036,0,2,1,1,7917,8,0,0,1935,1,Ocassional Flyers
330,72497,0,3,1,1,24279,13,0,0,2161,0,Ocassional Flyers
331,2198,0,1,1,1,16070,12,0,0,4658,1,Ocassional Flyers
332,56756,0,3,1,1,10851,14,0,0,2068,0,Ocassional Flyers
333,33466,0,1,1,1,355,3,0,0,3592,0,Ocassional Flyers
334,68,0,1,1,1,590,1,0,0,3937,0,Ocassional Flyers
335,38580,0,1,1,1,4337,7,0,0,2168,0,Ocassional Flyers
336,53518,0,5,1,1,73933,30,400,1,3930,1,Ocassional Flyers
337,16700,0,1,1,1,1500,5,0,0,1269,0,Ocassional Flyers
338,124979,0,3,1,1,14267,14,0,0,3720,0,Ocassional Flyers
339,44665,0,1,1,1,333,2,333,2,3601,0,Ocassional Flyers
340,9264,0,1,1,1,4830,15,0,0,424,0,Ocassional Flyers
341,49238,0,4,1,1,38037,18,0,0,7801,1,Ocassional Flyers
342,97193,0,2,1,1,13338,12,0,0,2502,0,Ocassional Flyers
343,21708,0,3,1,1,12811,13,0,0,4100,0,Ocassional Flyers
344,26556,3490,1,1,1,2845,14,720,4,6339,1,Ocassional Flyers
345,121779,0,1,1,1,3500,3,1000,2,634,0,Ocassional Flyers
346,192046,0,4,1,1,54818,52,1200,3,5829,0,Ocassional Flyers
347,365918,0,5,1,1,83752,23,1373,7,6429,1,Ocassional Flyers
348,30463,0,1,1,1,4619,9,0,0,1275,0,Ocassional Flyers
349,120152,0,1,1,1,6250,27,3750,26,4497,1,Ocassional Flyers
350,49353,0,4,1,1,34656,14,0,0,3540,1,Ocassional Flyers
351,23835,0,1,1,1,0,0,0,0,1488,0,Ocassional Flyers
352,143378,0,1,1,1,3000,4,1500,3,5905,0,Ocassional Flyers
353,28335,0,1,1,1,400,3,0,0,2161,0,Ocassional Flyers
354,18944,0,1,1,1,300,3,300,3,3932,0,Ocassional Flyers
355,26119,0,1,1,1,3189,6,0,0,3257,0,Ocassional Flyers
356,73501,0,3,1,1,21014,26,3694,8,1720,0,Ocassional Flyers
357,86500,0,4,1,1,51740,20,0,0,1691,0,Ocassional Flyers
358,266776,0,1,1,1,8370,30,6520,28,5042,1,Ocassional Flyers
359,346178,0,5,1,1,63803,16,0,0,6645,0,Ocassional Flyers
360,89094,0,5,1,1,55865,13,0,0,2404,0,Ocassional Flyers
361,17681,0,1,1,1,500,1,0,0,2059,0,Ocassional Flyers
362,32540,0,4,1,1,44283,17,100,1,2297,1,Ocassional Flyers
363,168886,0,5,1,1,66859,21,200,1,3285,1,Ocassional Flyers
364,156885,0,4,1,1,38601,19,0,0,4534,1,Ocassional Flyers
365,34941,0,3,1,1,23718,16,0,0,4755,0,Ocassional Flyers
366,62183,1896,4,1,1,38635,18,0,0,5738,1,Ocassional Flyers
367,149285,0,1,1,1,15656,13,3250,6,7561,1,Ocassional Flyers
368,47258,0,3,1,1,24768,19,0,0,7659,1,Ocassional Flyers
369,15253,0,2,1,1,5427,8,0,0,4373,0,Ocassional Flyers
370,507506,1952,5,1,1,102279,32,4485,13,8296,1,Ocassional Flyers
371,19702,0,1,1,1,3000,1,0,0,6554,1,Ocassional Flyers
372,45575,0,3,1,1,23223,17,0,0,2964,1,Ocassional Flyers
373,33753,0,3,1,1,14961,14,500,1,3335,1,Ocassional Flyers
