,Alcohol,MalicAcid,Ash,Aclacinity of Ash,Magnesium,Total Phenols,Flavanoids,NonFlavanoids phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,PC1,PC2,clust
21,12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,1.0865700683322406,-0.24174355133283815,Rich Flavors
22,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035,2.5352240799037142,0.09184062072088015,Rich Flavors
23,12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,1.64498834125447,0.5162789300672348,Rich Flavors
24,13.5,1.81,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,1.7615758722693007,0.3171489326843804,Rich Flavors
25,13.05,2.05,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,0.9900791016088575,-0.9406673381906325,Rich Flavors
26,13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,1.775277628113369,-0.6861751342850225,Rich Flavors
27,13.3,1.72,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,1.2354239643099048,0.08980704136063988,Rich Flavors
28,13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,2.1884063344519613,-0.6895696206616225,Rich Flavors
29,14.02,1.68,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,2.2561089812837056,-0.19146193688666513,Rich Flavors
30,13.73,1.5,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285,2.500220025789425,-1.2408338348969423,Rich Flavors
31,13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,2.6774110474440143,-1.4718736461032478,Rich Flavors
32,13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,1.6285791164309171,-0.052704450575323705,Rich Flavors
33,13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235,1.9026908622381482,-1.633060434769982,Rich Flavors
34,13.51,1.8,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,1.4103885265954066,-0.6979343246113555,Rich Flavors
35,13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,1.9038262321944857,-0.17671095109545654,Rich Flavors
36,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,1.3848622303748395,-0.6586398536611472,Rich Flavors
37,13.05,1.65,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,1.1222074104413102,-0.1141097602968876,Rich Flavors
38,13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,1.502194500618191,0.7694320064310072,Rich Flavors
39,14.22,3.99,2.51,13.2,128,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760,2.52980109237181,-1.8030019760618248,Rich Flavors
40,13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,2.5880954258544016,-0.7796163041925068,Rich Flavors
41,13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035,0.6684819937541859,-0.16996094061987532,Rich Flavors
42,13.88,1.89,2.59,15.0,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,3.0708069904120077,-1.1559189566098815,Rich Flavors
43,13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680,0.4622091375160069,-0.3307421321922743,Rich Flavors
44,13.05,1.77,2.1,17.0,107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885,2.101351930538015,0.07100892095406634,Rich Flavors
45,14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,1.1361661775610181,-1.7771073929776355,Rich Flavors
46,14.38,3.59,2.28,16.0,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,2.726600963640802,-1.1913346919571826,Rich Flavors
47,13.9,1.68,2.12,16.0,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,2.821339274192247,-0.6462585991417038,Rich Flavors
48,14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,2.0098508509123567,-1.2470294606787593,Rich Flavors
49,13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,2.707491304266392,-1.7519674072063367,Rich Flavors
50,13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,3.214917474773822,-0.16699199499679068,Rich Flavors
51,13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,2.8589598267172933,-0.7452788039895876,Rich Flavors
52,13.82,1.75,2.42,14.0,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,3.505604355923221,-1.61273385603501,Rich Flavors
53,13.77,1.9,2.68,17.1,115,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375,2.2247913805321726,-1.8751679995630224,Rich Flavors
54,13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,2.146987823563866,-1.016751537757659,Rich Flavors
55,13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,2.4693294837977873,-1.3290083106496209,Rich Flavors
56,14.22,1.7,2.3,16.3,118,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970,2.7415179142774515,-1.4365487835125135,Rich Flavors
57,13.29,1.97,2.68,16.8,102,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270,2.173740920965307,-1.2121998406977925,Rich Flavors
58,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,3.1393801518289948,-1.731579115992511,Rich Flavors
59,12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,-0.928581968921857,3.073486163188924,Balanced and Moderate
60,12.33,1.1,2.28,16.0,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,-1.5424801378968807,1.381443508094228,Balanced and Moderate
61,12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,-1.83624976346694,0.8299841230557169,Balanced and Moderate
62,13.67,1.25,1.92,18.0,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,0.030606834086677942,1.2627861442114,Balanced and Moderate
63,12.37,1.13,2.16,19.0,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,2.050261607576315,1.925032604650099,Balanced and Moderate
64,12.17,1.45,2.53,19.0,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,-0.6096808271776217,1.9080588050851865,Balanced and Moderate
65,12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,0.9002278387071434,0.7639114736096088,Balanced and Moderate
66,13.11,1.01,1.7,15.0,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,2.2485071907983913,1.8845924845501296,Balanced and Moderate
67,12.37,1.17,1.92,19.6,78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510,0.1833840266847542,2.427146114703567,Balanced and Moderate
68,13.34,0.94,2.36,17.0,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,-0.8128050273520723,0.22051398690226914,Balanced and Moderate
69,12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,1.9756204987985524,1.403283225309613,Balanced and Moderate
70,12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,-1.5722162196262996,0.8849831369082204,Balanced and Moderate
71,13.86,1.51,2.67,25.0,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,1.6576818088332879,0.9567121974591472,Rich Flavors
72,13.49,1.66,2.24,24.0,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,-0.7253723880353572,1.063645400706092,Balanced and Moderate
73,12.99,1.67,2.6,30.0,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,2.5622271731703603,-0.26019855065459707,Rich Flavors
74,11.96,1.09,2.3,21.0,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,1.8325675700495476,1.2878781978605247,Balanced and Moderate
75,11.66,1.88,1.92,16.0,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,-0.8679929031954127,2.444101185580862,Balanced and Moderate
76,13.03,0.9,1.71,16.0,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,0.37001440429478044,2.1539069751569837,Balanced and Moderate
77,11.84,2.89,2.23,18.0,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,-1.457377044906138,1.3833517690762587,Balanced and Moderate
78,12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,1.2629308497284957,0.7708495299701167,Balanced and Moderate
79,12.7,3.87,2.4,23.0,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,0.3761503719342399,1.0270434033558216,Balanced and Moderate
80,12.0,0.92,2.0,19.0,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,0.7620639041095975,3.37505380996353,Balanced and Moderate
81,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,1.0345779671651858,1.4507097382440899,Balanced and Moderate
82,12.08,1.13,2.51,24.0,78,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630,-0.49487675568032785,2.381243526767366,Balanced and Moderate
83,13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,-2.53897708429512,0.08744335730498215,Bold and Intense
84,11.84,0.89,2.58,18.0,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,0.8353201453942974,1.4736705514008666,Balanced and Moderate
85,12.67,0.98,2.24,18.0,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,0.7879046149897083,2.026626522462474,Balanced and Moderate
86,12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,-0.806832155965539,2.233830390843909,Balanced and Moderate
87,11.65,1.67,2.62,26.0,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,-0.5580426248756812,2.3729854288494523,Balanced and Moderate
88,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680,-1.115111041919446,1.802247191665452,Balanced and Moderate
89,12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,-0.5557228299517021,2.657540035392289,Balanced and Moderate
90,12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,-1.3492852824437302,2.118001469784817,Balanced and Moderate
91,12.0,1.51,2.42,22.0,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,-1.5644826057199055,1.8522145217655481,Balanced and Moderate
92,12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,-1.932555610631464,1.5594954568986195,Balanced and Moderate
93,12.29,2.83,2.22,18.0,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,0.746665941988449,2.312931709220738,Balanced and Moderate
94,11.62,1.99,2.28,18.0,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,0.9574553638036408,2.2235284346674584,Balanced and Moderate
95,12.47,1.52,2.2,19.0,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,2.543865184199552,-0.16927402279974046,Rich Flavors
96,11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,-0.5439525887762274,0.36892654587731766,Balanced and Moderate
97,12.29,1.41,1.98,16.0,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,1.0310497503881473,2.5655693487335203,Balanced and Moderate
98,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,2.2519094221481235,1.4327413803542532,Rich Flavors
99,12.29,3.17,2.21,18.0,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,1.4102160153374577,2.1661917693703825,Balanced and Moderate
100,12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,0.7977197926930396,2.3769488030818584,Balanced and Moderate
101,12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,-0.5495317266494657,2.2931286432456233,Balanced and Moderate
102,12.34,2.45,2.46,21.0,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,-0.16117373994854517,1.164483321560015,Balanced and Moderate
103,11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,-0.6597949416843616,2.6799611859896317,Balanced and Moderate
104,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,0.39235440818508166,2.0987317087655337,Balanced and Moderate
105,12.42,2.55,2.27,22.0,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,-1.7724990779600347,1.71728846937614,Balanced and Moderate
106,12.25,1.73,2.12,19.0,80,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510,-0.366267357352065,2.16935329782928,Balanced and Moderate
107,12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,-1.6206725727874802,1.355583388025955,Balanced and Moderate
108,12.22,1.29,1.94,19.0,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,0.08253578349332602,2.306234587748321,Balanced and Moderate
109,11.61,1.35,2.7,20.0,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,1.578275070932382,1.4620342902048156,Balanced and Moderate
110,11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,1.4205692478240153,1.4182066376337492,Balanced and Moderate
111,12.52,2.43,2.17,21.0,88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325,-0.2787027536488557,1.9305680886704655,Balanced and Moderate
112,11.76,2.68,2.92,20.0,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,-1.3031449662482781,0.7631723136577924,Balanced and Moderate
113,11.41,0.74,2.5,21.0,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,-0.45707186565262453,2.2694156075896728,Balanced and Moderate
114,12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,-0.49418584704437496,1.9390450494868294,Balanced and Moderate
115,11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,0.4820744097730923,3.8717838484072344,Balanced and Moderate
116,11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,-0.2528888776532009,2.821492374701589,Balanced and Moderate
117,12.42,1.61,2.19,22.5,108,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345,-0.10722763772912444,1.9289220425669562,Balanced and Moderate
118,12.77,3.43,1.98,16.0,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,-2.433012602550219,1.2571410404943917,Balanced and Moderate
119,12.0,3.43,2.0,19.0,87,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564,-0.5510895391746518,2.2221615507766197,Balanced and Moderate
120,11.45,2.4,2.42,20.0,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,0.7396219285682224,1.4089566673657117,Balanced and Moderate
121,11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465,1.3363217334183324,-0.2533369311683046,Rich Flavors
122,12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,-1.1770869962477724,0.6639668398015709,Balanced and Moderate
123,13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,-0.46233500801967986,0.6182881794850414,Balanced and Moderate
124,11.87,4.31,2.39,21.0,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,0.9784740793566475,1.445570498895826,Balanced and Moderate
125,12.07,2.16,2.17,21.0,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,-0.09680972631598636,2.1099979931352224,Balanced and Moderate
126,12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,0.03848714594902411,1.2667621091578831,Balanced and Moderate
127,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466,-1.59715850120747,1.208143574128484,Balanced and Moderate
128,12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,-0.4795649160831263,1.938840660394045,Balanced and Moderate
129,12.04,4.3,2.38,22.0,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,-1.7928334730311433,1.1502881044421047,Balanced and Moderate
130,12.86,1.35,2.32,18.0,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,-1.3271016561416011,-0.17038923204902767,Bold and Intense
131,12.88,2.99,2.4,20.0,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,-2.384500834743529,-0.3745826055246928,Bold and Intense
132,12.81,2.31,2.4,24.0,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,-2.936940102146613,-0.26386183006838065,Bold and Intense
133,12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600,-2.1468111338160627,-0.3682549518864603,Bold and Intense
134,12.51,1.24,2.25,17.5,85,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650,-2.3698694883330416,0.45963480923116595,Bold and Intense
135,12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,-3.0638415687203535,-0.35341283545840235,Bold and Intense
136,12.25,4.72,2.54,21.0,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,-3.915753783711888,-0.15458251944173093,Bold and Intense
137,12.53,5.51,2.64,25.0,96,1.79,0.6,0.63,1.1,5.0,0.82,1.69,515,-3.9364633907159607,-0.6596872334097802,Bold and Intense
138,13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,-3.0942761177622753,-0.34884275927379554,Bold and Intense
139,12.84,2.96,2.61,24.0,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,-2.374471628006922,-0.29198035155999347,Bold and Intense
140,12.93,2.81,2.7,21.0,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,-2.7788129476325123,-0.28680487288217343,Bold and Intense
141,13.36,2.56,2.35,20.0,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,-2.2865612847384686,-0.37250784468529874,Bold and Intense
142,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,-2.9856334874494648,-0.4892179083470115,Bold and Intense
143,13.62,4.95,2.35,20.0,92,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550,-2.3751946982271077,-0.48233371724487617,Bold and Intense
144,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2.0,855,-2.2098655255958697,-1.160052504157641,Bold and Intense
145,13.16,3.57,2.15,21.0,102,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830,-2.6256210046927206,-0.5631607642108339,Bold and Intense
146,13.88,5.04,2.23,20.0,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,-4.2806387787510864,-0.6496709640237055,Bold and Intense
147,12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,-3.582641372001103,-1.272702749727299,Bold and Intense
148,13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,-2.807063720081658,-1.5705337870411957,Bold and Intense
149,13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,-2.8996593330239095,-2.0410570079384613,Bold and Intense
150,13.5,3.12,2.62,24.0,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,-2.320736976549203,-2.356366075556671,Bold and Intense
151,12.79,2.67,2.48,22.0,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,-2.549830947226135,-2.045283091019522,Bold and Intense
152,13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,-1.8125412848422973,-1.5276459462687493,Bold and Intense
153,13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,-2.76014464192395,-2.138932347642609,Bold and Intense
154,12.58,1.29,2.1,20.0,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,-2.737150500667991,-0.40988627088179136,Bold and Intense
155,13.17,5.19,2.32,22.0,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,-3.604868868183423,-1.802384217583964,Bold and Intense
156,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,-2.8898259968735065,-1.9252186131303402,Bold and Intense
157,12.45,3.03,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,-3.392156076835719,-1.3118763884735947,Bold and Intense
158,14.34,1.68,2.7,25.0,98,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660,-1.0481818968536785,-3.515089691219728,Bold and Intense
159,13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,-1.6099122828479349,-2.4066381595743254,Bold and Intense
160,12.36,3.83,2.38,21.0,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,-3.1431309667439726,-0.7381610441757959,Bold and Intense
161,13.69,3.26,2.54,20.0,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,-2.240156896269542,-1.1754652881188623,Bold and Intense
162,12.85,3.27,2.58,22.0,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,-2.8476737761195183,-0.5560439658826726,Bold and Intense
163,12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,-2.597497056648763,-0.6979655372009183,Bold and Intense
164,13.78,2.76,2.3,22.0,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,-2.9492993731348447,-1.5553089642839826,Bold and Intense
165,13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,-3.530032266349312,-0.882526796204236,Bold and Intense
166,13.45,3.7,2.6,23.0,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,-2.4061105404785508,-2.5923561750423945,Bold and Intense
167,12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,-2.9290847269674543,-1.2744469479044809,Bold and Intense
168,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,-2.1814127788126196,-2.077537312734514,Bold and Intense
169,13.4,4.6,2.86,25.0,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,-2.3809277871356374,-2.5886674324185868,Bold and Intense
170,12.2,3.03,2.32,19.0,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,-3.2116172150412465,0.2512491044255917,Bold and Intense
171,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,-3.6779187209738153,-0.8477478441497627,Bold and Intense
172,14.16,2.51,2.48,20.0,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,-2.4655557980404486,-2.193798303654092,Bold and Intense
173,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,-3.3705241454428596,-2.216289139861133,Bold and Intense
174,13.4,3.91,2.48,23.0,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,-2.6019558512247367,-1.7572293509792722,Bold and Intense
175,13.27,4.28,2.26,20.0,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,-2.677839460864501,-2.760899131674542,Bold and Intense
176,13.17,2.59,2.37,20.0,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,-2.387017091279718,-2.2973466797128164,Bold and Intense
